D,m,k,B,seed,method,overall_sign,band_sign,band_spearman
8,2,1,64,3,sobol,0.7717,0.4994885782475281,0.054793082811377666
8,2,1,64,3,random,0.77855,0.5103989089669281,0.04672315792675046
8,2,1,64,3,adaptive,0.8155,0.4974428912376406,0.04551118114938089
8,2,1,64,4,sobol,0.77105,0.4802610114192496,0.013713432332320617
8,2,1,64,4,random,0.7261,0.49135399673735725,0.031100785216932457
8,2,1,64,4,adaptive,0.8128,0.48515497553017944,0.03945338185340457
2,2,3,512,4,sobol,0.9922,0.9647616896318049,0.9884223768696951
2,2,3,512,4,random,0.98905,0.9505308335215722,0.985367437968718
2,2,3,512,4,adaptive,0.99205,0.9640840298170319,0.9922222917560508
8,2,1,128,1,sobol,0.7684,0.4914887031878675,0.052137392186832894
8,2,1,128,1,random,0.79055,0.5035592695759826,0.06633974701444895
8,2,1,128,1,adaptive,0.8101,0.4828226555246054,0.05256634088299091
8,2,1,128,0,sobol,0.73295,0.4904092071611253,0.03279119725713184
8,2,1,128,0,random,0.76575,0.5428388746803069,0.12190905247820029
8,2,1,128,0,adaptive,0.82545,0.5003196930946292,0.05575519024039351
8,2,1,128,2,sobol,0.76205,0.5073409461663948,0.07085057939610928
8,2,1,128,2,random,0.76795,0.5145187601957586,0.09060342245160415
8,2,1,128,2,adaptive,0.8199,0.5034257748776509,0.08986420789325555
8,2,1,128,3,sobol,0.8192,0.5144902829867031,0.08581152448160682
8,2,1,128,3,random,0.7901,0.5288100920559154,0.12484953603268778
8,2,1,128,3,adaptive,0.8386,0.5134674394817593,0.1087636016355478
8,2,1,128,4,sobol,0.789,0.5086460032626428,0.07026247167580314
8,2,1,128,4,random,0.72595,0.5008156606851549,0.054286613578365485
8,2,1,128,4,adaptive,0.8202,0.49429037520391517,0.049119688850243974
8,2,1,256,0,sobol,0.89675,0.6230818414322251,0.29713039474438036
8,2,1,256,0,random,0.86835,0.5866368286445013,0.22460418122234363
8,2,1,256,0,adaptive,0.86585,0.5415601023017903,0.176602452946003
8,2,1,256,1,sobol,0.842,0.5304859176725472,0.1595107880550122
8,2,1,256,1,random,0.84855,0.5394614670380687,0.19192664126576342
8,2,1,256,1,adaptive,0.8385,0.5109873104302074,0.11443926017471312
8,2,1,256,2,sobol,0.87805,0.564437194127243,0.20034651732146092
8,2,1,256,2,random,0.8436,0.5370309951060359,0.16059035541014138
8,2,1,256,2,adaptive,0.8894,0.5807504078303426,0.26496681198354594
8,2,1,256,3,sobol,0.8729,0.5567678145243777,0.21777633488532003
8,2,1,256,3,random,0.87385,0.5785884759631776,0.24458050752400995
8,2,1,256,3,adaptive,0.8853,0.5676781452437777,0.24307430287733472
8,2,1,256,4,sobol,0.8484,0.5497553017944535,0.13411211321195105
8,2,1,256,4,random,0.82465,0.5579119086460033,0.15509908643819423
8,2,1,256,4,adaptive,0.86805,0.5624796084828712,0.2021544531335873
8,2,1,512,1,sobol,0.92815,0.6675951717734447,0.46638846805935896
8,2,1,512,1,random,0.92475,0.6583101207056639,0.43794768537022566
8,2,1,512,1,adaptive,0.96195,0.780563293098112,0.7008230311332833
8,2,1,512,0,sobol,0.9542,0.7452046035805626,0.6388210815577009
8,2,1,512,0,random,0.93285,0.6774296675191815,0.4940236004300995
8,2,1,512,0,adaptive,0.9469,0.7042838874680307,0.554569128889706
8,2,3,64,0,sobol,0.6991,0.4726477024070022,0.06377185619210117
8,2,3,64,0,random,0.6851,0.4726477024070022,0.056208260434206785
8,2,3,64,0,adaptive,0.732,0.47893873085339167,0.08060913679606442
8,2,1,512,2,sobol,0.9296,0.668515497553018,0.45677963551666356
8,2,1,512,2,random,0.938,0.6812398042414356,0.49158407612358507
8,2,1,512,2,adaptive,0.9374,0.6773246329526916,0.4861576022332332
8,2,3,64,1,sobol,0.6629,0.49350381521963294,0.11012124430749326
8,2,3,64,1,random,0.6579,0.4827799546298206,0.07960225796706763
8,2,3,64,1,adaptive,0.6512,0.4761806558053207,0.10661549784401449
8,2,3,64,2,sobol,0.65785,0.48073217726396916,0.05971159107211827
8,2,3,64,2,random,0.6785,0.46772639691714835,0.037559425254204616
8,2,3,64,2,adaptive,0.64275,0.4619460500963391,0.05128486697052873
8,2,3,64,3,sobol,0.68835,0.5052607502287283,0.09083150125144916
8,2,3,64,3,random,0.6634,0.47712717291857276,0.09003483087171274
8,2,3,64,3,adaptive,0.63145,0.4709515096065874,0.05408197993890751
8,2,3,64,4,sobol,0.6829,0.49684873949579833,0.05902866643468164
8,2,3,64,4,random,0.6922,0.49264705882352944,0.03316131095789543
8,2,3,64,4,adaptive,0.694,0.47163865546218486,0.06250872966733664
8,2,1,512,3,sobol,0.952,0.7245141493351517,0.5551409050203867
8,2,1,512,3,random,0.9301,0.6641663825434708,0.45101660458484827
8,2,1,512,3,adaptive,0.9569,0.7374701670644391,0.6214489590793264
8,2,3,128,0,sobol,0.70415,0.5010940919037199,0.06844298643722083
8,2,3,128,0,random,0.7308,0.5019146608315098,0.1347028034610015
8,2,3,128,0,adaptive,0.74855,0.4863238512035011,0.11954196025376691
8,2,3,128,1,sobol,0.72785,0.5454732934625696,0.17520709314320973
8,2,3,128,1,random,0.71365,0.5182511858115075,0.14655678356847343
8,2,3,128,1,adaptive,0.6864,0.4671066199216333,0.13946612058990118
8,2,3,128,2,sobol,0.6529,0.47952793834296725,0.02792413204093661
8,2,3,128,2,random,0.6853,0.5185452793834296,0.10479028856865014
8,2,3,128,2,adaptive,0.71135,0.4718208092485549,0.083671981177565
8,2,3,128,3,sobol,0.73925,0.5231015553522416,0.14356224559113814
8,2,3,128,3,random,0.7335,0.5388838060384263,0.1835780332091008
8,2,3,128,3,adaptive,0.7026,0.4885635864592864,0.091890997908267
8,2,3,128,4,sobol,0.74515,0.5105042016806722,0.09676009238121863
8,2,3,128,4,random,0.6922,0.5115546218487395,0.09397110117347018
8,2,3,128,4,adaptive,0.7322,0.5018382352941176,0.11632316833357384
8,2,1,512,4,sobol,0.9343,0.6760195758564437,0.4811868298278661
8,2,1,512,4,random,0.90385,0.6264274061990212,0.3057857925247584
