dataset,d,seed,sampler,score_fid,attr_cosine,attr_top1,attr_top3_jac,attr_rank,decision_f1
27_PageBlocks,10,2,disagreement_shell,0.47167619207437533,0.9208966971061249,0.1980392156862745,0.25588235294117645,0.17231679540639475,0.7196765498652291
27_PageBlocks,10,2,shell_box_mix,0.4754867773198576,0.9241240926014166,0.21176470588235294,0.3519607843137255,0.2856090314913844,0.7166882276843467
27_PageBlocks,10,7,normals_only,0.36595744199663344,0.9145798053675528,0.23333333333333334,0.27784313725490195,0.14258089989428357,0.6
27_PageBlocks,10,7,uniform_shell,0.2092324121833248,0.9177735465560695,0.18235294117647058,0.2531372549019608,0.14631439347570324,0.7461928934010152
27_PageBlocks,10,7,disagreement_shell,0.2255995737369685,0.9203332778591694,0.20392156862745098,0.2901960784313726,0.17231891881866143,0.635743519781719
27_PageBlocks,10,7,shell_box_mix,0.6566170844902269,0.927358691466895,0.30980392156862746,0.3143137254901961,0.2710873440285204,0.7846534653465347
31_satimage-2,36,3,normals_only,0.5944532009792415,0.9371459332778481,0.014084507042253521,0.05211267605633803,-0.056381532437870474,0.7037037037037037
31_satimage-2,36,3,uniform_shell,0.18367483819041552,0.959059032151362,0.0,0.054929577464788736,0.10186524552721737,0.7345454545454545
31_satimage-2,36,3,disagreement_shell,0.5838223951172072,0.9610755874938773,0.056338028169014086,0.07183098591549296,-0.050435949027498324,0.5954198473282443
31_satimage-2,36,3,shell_box_mix,0.07538817532445756,0.9599249179239588,0.11267605633802817,0.08873239436619719,-0.02429713415628909,0.6379928315412187
31_satimage-2,36,2,normals_only,0.09312854220463464,0.928462327514397,0.08450704225352113,0.07042253521126762,0.08895172838834811,0.6037735849056604
31_satimage-2,36,2,uniform_shell,-0.12347831919246119,0.9528699762816104,0.07042253521126761,0.09014084507042254,-0.008889372269653957,0.6518518518518519
31_satimage-2,36,2,disagreement_shell,0.23119487575036052,0.9629739951246805,0.014084507042253521,0.0619718309859155,0.09134083781971107,0.75177304964539
31_satimage-2,36,2,shell_box_mix,0.7883228813843522,0.9704499023768917,0.07042253521126761,0.10845070422535212,0.0815741294614534,0.7074829931972789
27_PageBlocks,10,4,normals_only,0.13511764638034884,0.8852394349017425,0.19411764705882353,0.2703921568627451,0.1440321712376738,0.6158273381294964
27_PageBlocks,10,4,uniform_shell,0.3484120865290434,0.9199314670416153,0.2529411764705882,0.30431372549019603,0.20191135132058963,0.7238605898123325
27_PageBlocks,10,4,disagreement_shell,0.4513134478432761,0.9122394449246666,0.18823529411764706,0.2803921568627451,0.1489474326248755,0.772104607721046
27_PageBlocks,10,4,shell_box_mix,0.7972914838083147,0.9251728885011369,0.18627450980392157,0.30666666666666675,0.2363161021984551,0.7975
26_optdigits,64,2,normals_only,0.43855575488085213,0.8967233893021811,0.02666666666666667,0.04533333333333334,0.22824755799755803,0.3686274509803922
26_optdigits,64,2,uniform_shell,0.24361324412884272,0.8886487985535998,0.02,0.04266666666666667,0.057442612942612936,0.4080267558528428
26_optdigits,64,2,disagreement_shell,0.3395465932264562,0.8823371699378627,0.0,0.02,0.0609102564102564,0.460431654676259
