dataset,teacher,d,seed,sampler,teacher_auroc,coverage,coverage_wide,radiality,fid,student_auroc,topk
12_fault,ocsvm,27,6,uniform_shell,0.6088320950965824,0.8989598811292719,0.9019316493313522,0.6858135782344119,0.8843907450017544,0.5888380386329867,0.8781575037147102
12_fault,ocsvm,27,6,wide_shell,0.6088320950965824,0.8989598811292719,0.9019316493313522,0.6858135782344119,0.8231701863244493,0.5973254086181278,0.8484398216939079
12_fault,ocsvm,27,6,multiscale_shell,0.6088320950965824,0.8989598811292719,0.9019316493313522,0.6858135782344119,0.8521495322834933,0.6156255572065379,0.8647845468053492
12_fault,ocsvm,27,6,shell_box_mix,0.6088320950965824,0.8989598811292719,0.9019316493313522,0.6858135782344119,0.8168467542660117,0.6070193164933135,0.8276374442793462
20_letter,ocsvm,32,8,normals_only,0.59716,1.0,1.0,0.5051185118511852,0.47834383438343825,0.51974,0.52
20_letter,ocsvm,32,8,gaussian_jitter,0.59716,1.0,1.0,0.5051185118511852,0.2885328532853285,0.61352,0.44
20_letter,ocsvm,32,8,uniform_box,0.59716,1.0,1.0,0.5051185118511852,0.1840984098409841,0.5343,0.4
20_letter,ocsvm,32,8,uniform_shell,0.59716,1.0,1.0,0.5051185118511852,0.3043144314431443,0.70084,0.48
20_letter,ocsvm,32,8,wide_shell,0.59716,1.0,1.0,0.5051185118511852,0.3451905190519052,0.6156400000000001,0.47
20_letter,ocsvm,32,8,multiscale_shell,0.59716,1.0,1.0,0.5051185118511852,0.43158715871587155,0.54558,0.44
20_letter,ocsvm,32,8,shell_box_mix,0.59716,1.0,1.0,0.5051185118511852,0.22442244224422442,0.6195599999999999,0.38
20_letter,iforest,32,4,normals_only,0.6348199999999999,1.0,1.0,0.5956555655565556,0.1738973897389739,0.6063799999999999,0.45
20_letter,iforest,32,4,gaussian_jitter,0.6348199999999999,1.0,1.0,0.5956555655565556,0.5059105910591059,0.6178,0.65
20_letter,iforest,32,4,uniform_box,0.6348199999999999,1.0,1.0,0.5956555655565556,0.547086708670867,0.5791599999999999,0.61
20_letter,iforest,32,4,uniform_shell,0.6348199999999999,1.0,1.0,0.5956555655565556,0.45970597059705964,0.61204,0.5
20_letter,iforest,32,4,wide_shell,0.6348199999999999,1.0,1.0,0.5956555655565556,0.4943174317431743,0.6044800000000001,0.57
20_letter,iforest,32,4,multiscale_shell,0.6348199999999999,1.0,1.0,0.5956555655565556,0.16750075007500748,0.61338,0.56
20_letter,iforest,32,4,shell_box_mix,0.6348199999999999,1.0,1.0,0.5956555655565556,0.5987038703870387,0.59134,0.56
12_fault,iforest,27,6,normals_only,0.6526478454680535,0.8989598811292719,0.9019316493313522,0.6988422670094048,0.8492379568747178,0.6379494799405647,0.9153046062407132
12_fault,iforest,27,6,gaussian_jitter,0.6526478454680535,0.8989598811292719,0.9019316493313522,0.6988422670094048,0.8383287315437637,0.6332451708766716,0.8796433878157504
12_fault,iforest,27,6,uniform_box,0.6526478454680535,0.8989598811292719,0.9019316493313522,0.6988422670094048,0.8299994110633173,0.6482674591381872,0.8900445765230312
12_fault,iforest,27,6,uniform_shell,0.6526478454680535,0.8989598811292719,0.9019316493313522,0.6988422670094048,0.8313713658354996,0.6552303120356612,0.8781575037147102
12_fault,iforest,27,6,wide_shell,0.6526478454680535,0.8989598811292719,0.9019316493313522,0.6988422670094048,0.817165039899673,0.6523120356612184,0.8841010401188707
12_fault,iforest,27,6,multiscale_shell,0.6526478454680535,0.8989598811292719,0.9019316493313522,0.6988422670094048,0.8564338498129576,0.6168261515601783,0.8900445765230312
12_fault,iforest,27,6,shell_box_mix,0.6526478454680535,0.8989598811292719,0.9019316493313522,0.6988422670094048,0.8654210787052463,0.6548142644873699,0.8930163447251115
20_letter,kde,32,1,normals_only,0.93152,1.0,1.0,0.9079147914791479,0.13959795979597958,0.5854799999999999,0.34
20_letter,kde,32,1,gaussian_jitter,0.93152,1.0,1.0,0.9079147914791479,0.0023642364236423643,0.57924,0.16
